state,district,month,monthly_enrolments,monthly_load,estimated_update_requests
100000,100000,2025-02,3,3,1
100000,100000,2025-03,1,1,0
100000,100000,2025-08,1,1,0
100000,100000,2025-09,1,1,0
100000,100000,2025-11,2,2,1
100000,100000,2025-12,2,2,1
Andaman & Nicobar Islands,Andamans,2025-01,3,3,1
Andaman & Nicobar Islands,Andamans,2025-02,1,1,0
Andaman & Nicobar Islands,Andamans,2025-04,3,3,1
Andaman & Nicobar Islands,Andamans,2025-09,4,4,1
Andaman & Nicobar Islands,Andamans,2025-11,3,3,1
Andaman & Nicobar Islands,Andamans,2025-12,1,1,0
Andaman & Nicobar Islands,Nicobars,2025-03,1,1,0
Andaman & Nicobar Islands,South Andaman,2025-01,3,3,1
Andaman & Nicobar Islands,South Andaman,2025-03,2,2,1
Andaman & Nicobar Islands,South Andaman,2025-04,2,2,1
Andaman & Nicobar Islands,South Andaman,2025-05,2,2,1
Andaman & Nicobar Islands,South Andaman,2025-08,1,1,0
Andaman & Nicobar Islands,South Andaman,2025-11,3,3,1
Andaman & Nicobar Islands,South Andaman,2025-12,1,1,0
Andaman and Nicobar Islands,Nicobar,2025-01,12,12,4
Andaman and Nicobar Islands,Nicobar,2025-02,5,5,2
Andaman and Nicobar Islands,Nicobar,2025-03,2,2,1
Andaman and Nicobar Islands,Nicobar,2025-04,4,4,1
Andaman and Nicobar Islands,Nicobar,2025-08,2,2,1
Andaman and Nicobar Islands,Nicobar,2025-09,2,2,1
Andaman and Nicobar Islands,Nicobar,2025-10,7,7,2
Andaman and Nicobar Islands,Nicobar,2025-11,2,2,1
Andaman and Nicobar Islands,Nicobar,2025-12,2,2,1
Andaman and Nicobar Islands,North And Middle Andaman,2025-01,4,4,1
Andaman and Nicobar Islands,North And Middle Andaman,2025-02,4,4,1
Andaman and Nicobar Islands,North And Middle Andaman,2025-03,6,6,2
Andaman and Nicobar Islands,North And Middle Andaman,2025-04,3,3,1
Andaman and Nicobar Islands,North And Middle Andaman,2025-05,1,1,0
